縣市,鄉鎮市區,村里,valid_ticket,agree_ticket,disagree_ticket,invalid_ticket,vote_ticket,votable_population,population,vote_to_votable,agree_to_votable
臺北市,松山區,莊敬里,2010,1132,878,19,2029,4467,0,45.42,25.34
臺北市,松山區,東榮里,3402,1735,1667,14,3416,6468,0,52.81,26.82
臺北市,松山區,三民里,2918,1662,1256,30,2948,5723,0,51.51,29.04
臺北市,松山區,新益里,1991,1034,957,13,2004,3881,0,51.64,26.64
臺北市,松山區,富錦里,2171,1183,988,18,2189,4281,0,51.13,27.63
臺北市,松山區,新東里,2049,1146,903,18,2067,4135,0,49.99,27.71
臺北市,松山區,富泰里,1883,1150,733,17,1900,3884,0,48.92,29.61
臺北市,松山區,介壽里,1790,942,848,15,1805,3540,0,50.99,26.61
臺北市,松山區,精忠里,1772,975,797,21,1793,3553,0,50.46,27.44
臺北市,松山區,東光里,3031,1729,1302,30,3061,6051,0,50.59,28.57
臺北市,松山區,龍田里,4242,2820,1422,57,4299,8377,0,51.32,33.66
臺北市,松山區,東昌里,1174,561,613,5,1179,2184,0,53.98,25.69
臺北市,松山區,東勢里,1769,876,893,18,1787,3518,0,50.8,24.9
臺北市,松山區,中華里,2635,1486,1149,31,2666,5140,0,51.87,28.91
臺北市,松山區,民有里,3790,1864,1926,24,3814,7351,0,51.88,25.36
臺北市,松山區,民福里,2831,1672,1159,24,2855,5381,0,53.06,31.07
臺北市,松山區,慈祐里,2741,1308,1433,22,2763,7162,0,38.58,18.26
臺北市,松山區,安平里,3315,1652,1663,34,3349,7230,0,46.32,22.85
臺北市,松山區,鵬程里,2266,1416,850,31,2297,4616,0,49.76,30.68
臺北市,松山區,自強里,3955,2977,978,67,4022,7730,0,52.03,38.51
臺北市,松山區,吉祥里,3369,1821,1548,27,3396,6959,0,48.8,26.17
臺北市,松山區,新聚里,3083,1562,1521,34,3117,6657,0,46.82,23.46
臺北市,松山區,復盛里,2631,1480,1151,27,2658,5286,0,50.28,28.0
臺北市,松山區,中正里,3458,1726,1732,34,3492,7611,0,45.88,22.68
臺北市,松山區,中崙里,1570,830,740,21,1591,3317,0,47.97,25.02
臺北市,松山區,美仁里,1410,680,730,12,1422,2882,0,49.34,23.59
臺北市,松山區,吉仁里,1481,757,724,9,1490,3234,0,46.07,23.41
臺北市,松山區,敦化里,2886,1470,1416,28,2914,5590,0,52.13,26.3
臺北市,松山區,復源里,1337,755,582,8,1345,2642,0,50.91,28.58
臺北市,松山區,復建里,1801,1001,800,22,1823,3714,0,49.08,26.95
臺北市,松山區,復勢里,2505,1230,1275,26,2531,5206,0,48.62,23.63
臺北市,松山區,福成里,1050,510,540,15,1065,2147,0,49.6,23.75
臺北市,松山區,松基里,1465,744,721,14,1479,3047,0,48.54,24.42
臺北市,松山區,合計,79781,43886,35895,785,80566,162964,196890,49.44,26.93
臺北市,信義區,西村里,2108,1481,627,20,2128,4958,0,42.92,29.87
臺北市,信義區,正和里,1964,1217,747,17,1981,3767,0,52.59,32.31
臺北市,信義區,興隆里,1005,616,389,14,1019,2224,0,45.82,27.7
臺北市,信義區,中興里,1290,725,565,15,1305,2903,0,44.95,24.97
臺北市,信義區,新仁里,1334,797,537,11,1345,2732,0,49.23,29.17
臺北市,信義區,興雅里,2173,1175,998,26,2199,4753,0,46.27,24.72
臺北市,信義區,敦厚里,1990,1089,901,12,2002,4357,0,45.95,24.99
臺北市,信義區,廣居里,3060,1751,1309,20,3080,6335,0,48.62,27.64
臺北市,信義區,安康里,3899,2137,1762,44,3943,8511,0,46.33,25.11
臺北市,信義區,六藝里,1422,716,706,13,1435,3102,0,46.26,23.08
臺北市,信義區,雅祥里,2009,1007,1002,29,2038,4266,0,47.77,23.61
臺北市,信義區,五常里,1480,814,666,7,1487,3106,0,47.88,26.21
臺北市,信義區,五全里,1948,897,1051,13,1961,4081,0,48.05,21.98
臺北市,信義區,永吉里,1413,573,840,9,1422,3370,0,42.2,17.0
臺北市,信義區,長春里,1565,772,793,15,1580,3629,0,43.54,21.27
臺北市,信義區,四育里,2321,1124,1197,29,2350,4754,0,49.43,23.64
臺北市,信義區,四維里,2122,1193,929,23,2145,4535,0,47.3,26.31
臺北市,信義區,永春里,1913,981,932,33,1946,4223,0,46.08,23.23
臺北市,信義區,富台里,1718,1093,625,28,1746,3723,0,46.9,29.36
臺北市,信義區,國業里,2828,1567,1261,19,2847,6147,0,46.32,25.49
臺北市,信義區,松隆里,875,472,403,7,882,1924,0,45.84,24.53
臺北市,信義區,松友里,2532,1396,1136,19,2551,5536,0,46.08,25.22
臺北市,信義區,松光里,1943,976,967,21,1964,4245,0,46.27,22.99
臺北市,信義區,中坡里,1872,996,876,16,1888,3791,0,49.8,26.27
臺北市,信義區,中行里,3061,1530,1531,26,3087,6724,0,45.91,22.75
臺北市,信義區,大道里,2469,1223,1246,20,2489,5177,0,48.08,23.62
臺北市,信義區,大仁里,1515,797,718,13,1528,3445,0,44.35,23.13
臺北市,信義區,景新里,2044,1231,813,18,2062,4324,0,47.69,28.47
臺北市,信義區,惠安里,2533,1523,1010,21,2554,5572,0,45.84,27.33
臺北市,信義區,三張里,3532,2110,1422,43,3575,7503,0,47.65,28.12
臺北市,信義區,三犁里,2010,1151,859,20,2030,4453,0,45.59,25.85
臺北市,信義區,六合里,2663,1654,1009,28,2691,5784,0,46.52,28.6
臺北市,信義區,泰和里,2736,1558,1178,20,2756,6519,0,42.28,23.9
臺北市,信義區,景聯里,1910,1077,833,20,1930,3961,0,48.73,27.19
臺北市,信義區,景勤里,1482,874,608,7,1489,3292,0,45.23,26.55
臺北市,信義區,雙和里,2938,1750,1188,17,2955,6033,0,48.98,29.01
臺北市,信義區,嘉興里,1328,729,599,9,1337,2713,0,49.28,26.87
臺北市,信義區,黎順里,1554,912,642,14,1568,3427,0,45.75,26.61
臺北市,信義區,黎平里,2915,1695,1220,33,2948,5973,0,49.36,28.38
臺北市,信義區,黎忠里,1994,1180,814,12,2006,4141,0,48.44,28.5
臺北市,信義區,黎安里,733,479,254,16,749,1734,0,43.19,27.62
臺北市,信義區,合計,84201,47038,37163,797,84998,181747,210936,46.77,25.88
臺北市,大安區,德安里,2293,1423,870,15,2308,4632,0,49.83,30.72
臺北市,大安區,仁慈里,2165,1135,1030,16,2181,4304,0,50.67,26.37
臺北市,大安區,和安里,2629,1511,1118,16,2645,5471,0,48.35,27.62
臺北市,大安區,民炤里,3219,1719,1500,31,3250,6608,0,49.18,26.01
臺北市,大安區,仁愛里,1914,1015,899,14,1928,4212,0,45.77,24.1
臺北市,大安區,義村里,2470,1627,843,9,2479,4707,0,52.67,34.57
臺北市,大安區,民輝里,2709,1459,1250,27,2736,5704,0,47.97,25.58
臺北市,大安區,昌隆里,1353,656,697,16,1369,2713,0,50.46,24.18
臺北市,大安區,誠安里,1667,870,797,18,1685,3427,0,49.17,25.39
臺北市,大安區,光武里,2841,1551,1290,32,2873,6211,0,46.26,24.97
臺北市,大安區,龍坡里,2345,1323,1022,26,2371,4608,0,51.45,28.71
臺北市,大安區,龍泉里,1910,1019,891,17,1927,4046,0,47.63,25.19
臺北市,大安區,古風里,1795,969,826,14,1809,3495,0,51.76,27.73
臺北市,大安區,古莊里,2890,1587,1303,25,2915,6074,0,47.99,26.13
臺北市,大安區,龍安里,2438,1295,1143,20,2458,6710,0,36.63,19.3
臺北市,大安區,錦安里,2354,1338,1016,17,2371,4806,0,49.33,27.84
臺北市,大安區,福住里,2371,1266,1105,24,2395,5061,0,47.32,25.01
臺北市,大安區,永康里,1432,804,628,9,1441,2977,0,48.4,27.01
臺北市,大安區,光明里,1466,827,639,19,1485,2987,0,49.72,27.69
臺北市,大安區,錦泰里,1491,916,575,20,1511,3004,0,50.3,30.49
臺北市,大安區,錦華里,2359,1358,1001,21,2380,4627,0,51.44,29.35
臺北市,大安區,龍圖里,2696,1581,1115,27,2723,5613,0,48.51,28.17
臺北市,大安區,新龍里,2891,1935,956,30,2921,5527,0,52.85,35.01
臺北市,大安區,龍陣里,1477,823,654,8,1485,2947,0,50.39,27.93
臺北市,大安區,龍雲里,1996,1123,873,18,2014,3937,0,51.16,28.52
