縣市,鄉鎮市區,村里,valid_ticket,agree_ticket,disagree_ticket,invalid_ticket,vote_ticket,votable_population,population,vote_to_votable,agree_to_votable
臺北市,松山區,莊敬里,2014,1077,937,19,2033,4467,0,45.51,24.11
臺北市,松山區,東榮里,3396,1681,1715,19,3415,6468,0,52.8,25.99
臺北市,松山區,三民里,2928,1580,1348,20,2948,5723,0,51.51,27.61
臺北市,松山區,新益里,1989,984,1005,16,2005,3881,0,51.66,25.35
臺北市,松山區,富錦里,2173,1146,1027,16,2189,4281,0,51.13,26.77
臺北市,松山區,新東里,2048,1106,942,19,2067,4135,0,49.99,26.75
臺北市,松山區,富泰里,1886,1120,766,15,1901,3884,0,48.94,28.84
臺北市,松山區,介壽里,1790,890,900,15,1805,3540,0,50.99,25.14
臺北市,松山區,精忠里,1781,953,828,13,1794,3553,0,50.49,26.82
臺北市,松山區,東光里,3031,1689,1342,30,3061,6051,0,50.59,27.91
臺北市,松山區,龍田里,4266,2742,1524,38,4304,8377,0,51.38,32.73
臺北市,松山區,東昌里,1172,537,635,8,1180,2184,0,54.03,24.59
臺北市,松山區,東勢里,1771,883,888,17,1788,3518,0,50.82,25.1
臺北市,松山區,中華里,2635,1435,1200,32,2667,5140,0,51.89,27.92
臺北市,松山區,民有里,3779,1797,1982,34,3813,7351,0,51.87,24.45
臺北市,松山區,民福里,2826,1642,1184,27,2853,5381,0,53.02,30.51
臺北市,松山區,慈祐里,2741,1272,1469,21,2762,7162,0,38.56,17.76
臺北市,松山區,安平里,3322,1635,1687,27,3349,7230,0,46.32,22.61
臺北市,松山區,鵬程里,2273,1387,886,25,2298,4616,0,49.78,30.05
臺北市,松山區,自強里,3978,2904,1074,45,4023,7730,0,52.04,37.57
臺北市,松山區,吉祥里,3370,1810,1560,27,3397,6959,0,48.81,26.01
臺北市,松山區,新聚里,3078,1517,1561,37,3115,6657,0,46.79,22.79
臺北市,松山區,復盛里,2629,1436,1193,31,2660,5286,0,50.32,27.17
臺北市,松山區,中正里,3460,1654,1806,31,3491,7611,0,45.87,21.73
臺北市,松山區,中崙里,1570,778,792,19,1589,3317,0,47.9,23.45
臺北市,松山區,美仁里,1412,669,743,10,1422,2882,0,49.34,23.21
臺北市,松山區,吉仁里,1480,739,741,10,1490,3234,0,46.07,22.85
臺北市,松山區,敦化里,2883,1420,1463,32,2915,5590,0,52.15,25.4
臺北市,松山區,復源里,1325,722,603,17,1342,2642,0,50.79,27.33
臺北市,松山區,復建里,1804,974,830,20,1824,3714,0,49.11,26.23
臺北市,松山區,復勢里,2507,1193,1314,23,2530,5206,0,48.6,22.92
臺北市,松山區,福成里,1049,496,553,16,1065,2147,0,49.6,23.1
臺北市,松山區,松基里,1463,715,748,14,1477,3047,0,48.47,23.47
臺北市,松山區,合計,79829,42583,37246,743,80572,162964,196890,49.44,26.13
臺北市,信義區,西村里,2102,1449,653,26,2128,4958,0,42.92,29.23
臺北市,信義區,正和里,1965,1165,800,18,1983,3767,0,52.64,30.93
臺北市,信義區,興隆里,1009,597,412,10,1019,2224,0,45.82,26.84
臺北市,信義區,中興里,1295,710,585,12,1307,2903,0,45.02,24.46
臺北市,信義區,新仁里,1330,793,537,15,1345,2732,0,49.23,29.03
臺北市,信義區,興雅里,2176,1148,1028,27,2203,4753,0,46.35,24.15
臺北市,信義區,敦厚里,1984,1068,916,18,2002,4357,0,45.95,24.51
臺北市,信義區,廣居里,3047,1664,1383,35,3082,6335,0,48.65,26.27
臺北市,信義區,安康里,3903,2093,1810,37,3940,8511,0,46.29,24.59
臺北市,信義區,六藝里,1417,718,699,16,1433,3102,0,46.2,23.15
臺北市,信義區,雅祥里,2018,970,1048,23,2041,4266,0,47.84,22.74
臺北市,信義區,五常里,1476,772,704,11,1487,3106,0,47.88,24.86
臺北市,信義區,五全里,1948,860,1088,13,1961,4081,0,48.05,21.07
臺北市,信義區,永吉里,1414,548,866,8,1422,3370,0,42.2,16.26
臺北市,信義區,長春里,1556,758,798,20,1576,3629,0,43.43,20.89
臺北市,信義區,四育里,2326,1072,1254,24,2350,4754,0,49.43,22.55
臺北市,信義區,四維里,2121,1163,958,24,2145,4535,0,47.3,25.64
臺北市,信義區,永春里,1914,933,981,33,1947,4223,0,46.1,22.09
臺北市,信義區,富台里,1722,1069,653,24,1746,3723,0,46.9,28.71
臺北市,信義區,國業里,2822,1517,1305,23,2845,6147,0,46.28,24.68
臺北市,信義區,松隆里,872,462,410,7,879,1924,0,45.69,24.01
臺北市,信義區,松友里,2527,1358,1169,20,2547,5536,0,46.01,24.53
臺北市,信義區,松光里,1949,947,1002,15,1964,4245,0,46.27,22.31
臺北市,信義區,中坡里,1865,943,922,22,1887,3791,0,49.78,24.87
臺北市,信義區,中行里,3059,1458,1601,27,3086,6724,0,45.9,21.68
臺北市,信義區,大道里,2474,1164,1310,14,2488,5177,0,48.06,22.48
臺北市,信義區,大仁里,1520,770,750,8,1528,3445,0,44.35,22.35
臺北市,信義區,景新里,2039,1194,845,23,2062,4324,0,47.69,27.61
臺北市,信義區,惠安里,2535,1496,1039,29,2564,5572,0,46.02,26.85
臺北市,信義區,三張里,3542,1985,1557,33,3575,7503,0,47.65,26.46
臺北市,信義區,三犁里,2010,1131,879,23,2033,4453,0,45.65,25.4
臺北市,信義區,六合里,2658,1625,1033,29,2687,5784,0,46.46,28.09
臺北市,信義區,泰和里,2730,1530,1200,25,2755,6519,0,42.26,23.47
臺北市,信義區,景聯里,1913,1044,869,18,1931,3961,0,48.75,26.36
臺北市,信義區,景勤里,1478,851,627,11,1489,3292,0,45.23,25.85
臺北市,信義區,雙和里,2930,1693,1237,22,2952,6033,0,48.93,28.06
臺北市,信義區,嘉興里,1322,708,614,14,1336,2713,0,49.24,26.1
臺北市,信義區,黎順里,1553,873,680,15,1568,3427,0,45.75,25.47
臺北市,信義區,黎平里,2906,1637,1269,40,2946,5973,0,49.32,27.41
臺北市,信義區,黎忠里,1990,1116,874,15,2005,4141,0,48.42,26.95
臺北市,信義區,黎安里,733,470,263,16,749,1734,0,43.19,27.1
臺北市,信義區,合計,84150,45522,38628,843,84993,181747,210936,46.76,25.05
臺北市,大安區,德安里,2293,1377,916,15,2308,4632,0,49.83,29.73
臺北市,大安區,仁慈里,2172,1084,1088,15,2187,4304,0,50.81,25.19
臺北市,大安區,和安里,2631,1478,1153,16,2647,5471,0,48.38,27.02
臺北市,大安區,民炤里,3229,1671,1558,23,3252,6608,0,49.21,25.29
臺北市,大安區,仁愛里,1910,1012,898,19,1929,4212,0,45.8,24.03
臺北市,大安區,義村里,2463,1578,885,17,2480,4707,0,52.69,33.52
