縣市,鄉鎮市區,村里,valid_ticket,agree_ticket,disagree_ticket,invalid_ticket,vote_ticket,votable_population,population,vote_to_votable,agree_to_votable
臺北市,松山區,莊敬里,2017,1140,877,15,2032,4467,0,45.49,25.52
臺北市,松山區,東榮里,3400,1740,1660,16,3416,6468,0,52.81,26.9
臺北市,松山區,三民里,2929,1656,1273,20,2949,5723,0,51.53,28.94
臺北市,松山區,新益里,1995,1039,956,10,2005,3881,0,51.66,26.77
臺北市,松山區,富錦里,2178,1199,979,10,2188,4281,0,51.11,28.01
臺北市,松山區,新東里,2052,1127,925,15,2067,4135,0,49.99,27.26
臺北市,松山區,富泰里,1884,1157,727,15,1899,3884,0,48.89,29.79
臺北市,松山區,介壽里,1791,915,876,14,1805,3540,0,50.99,25.85
臺北市,松山區,精忠里,1779,980,799,15,1794,3553,0,50.49,27.58
臺北市,松山區,東光里,3037,1729,1308,25,3062,6051,0,50.6,28.57
臺北市,松山區,龍田里,4263,2809,1454,38,4301,8377,0,51.34,33.53
臺北市,松山區,東昌里,1179,584,595,2,1181,2184,0,54.08,26.74
臺北市,松山區,東勢里,1773,897,876,15,1788,3518,0,50.82,25.5
臺北市,松山區,中華里,2642,1488,1154,25,2667,5140,0,51.89,28.95
臺北市,松山區,民有里,3790,1856,1934,24,3814,7351,0,51.88,25.25
臺北市,松山區,民福里,2829,1676,1153,22,2851,5381,0,52.98,31.15
臺北市,松山區,慈祐里,2740,1319,1421,24,2764,7162,0,38.59,18.42
臺北市,松山區,安平里,3313,1672,1641,38,3351,7230,0,46.35,23.13
臺北市,松山區,鵬程里,2275,1399,876,24,2299,4616,0,49.81,30.31
臺北市,松山區,自強里,3965,2973,992,56,4021,7730,0,52.02,38.46
臺北市,松山區,吉祥里,3378,1832,1546,20,3398,6959,0,48.83,26.33
臺北市,松山區,新聚里,3091,1548,1543,25,3116,6657,0,46.81,23.25
臺北市,松山區,復盛里,2636,1496,1140,24,2660,5286,0,50.32,28.3
臺北市,松山區,中正里,3465,1714,1751,26,3491,7611,0,45.87,22.52
臺北市,松山區,中崙里,1570,818,752,19,1589,3317,0,47.9,24.66
臺北市,松山區,美仁里,1407,687,720,15,1422,2882,0,49.34,23.84
臺北市,松山區,吉仁里,1481,751,730,9,1490,3234,0,46.07,23.22
臺北市,松山區,敦化里,2883,1476,1407,29,2912,5590,0,52.09,26.4
臺北市,松山區,復源里,1329,750,579,14,1343,2642,0,50.83,28.39
臺北市,松山區,復建里,1807,1012,795,18,1825,3714,0,49.14,27.25
臺北市,松山區,復勢里,2510,1240,1270,21,2531,5206,0,48.62,23.82
臺北市,松山區,福成里,1051,516,535,14,1065,2147,0,49.6,24.03
臺北市,松山區,松基里,1464,745,719,12,1476,3047,0,48.44,24.45
臺北市,松山區,合計,79903,43940,35963,669,80572,162964,196890,49.44,26.96
臺北市,信義區,西村里,2112,1500,612,16,2128,4958,0,42.92,30.25
臺北市,信義區,正和里,1963,1203,760,18,1981,3767,0,52.59,31.94
臺北市,信義區,興隆里,1007,607,400,12,1019,2224,0,45.82,27.29
臺北市,信義區,中興里,1295,739,556,9,1304,2903,0,44.92,25.46
臺北市,信義區,新仁里,1334,804,530,13,1347,2732,0,49.3,29.43
臺北市,信義區,興雅里,2172,1200,972,29,2201,4753,0,46.31,25.25
臺北市,信義區,敦厚里,1993,1090,903,10,2003,4357,0,45.97,25.02
臺北市,信義區,廣居里,3057,1740,1317,26,3083,6335,0,48.67,27.47
臺北市,信義區,安康里,3915,2146,1769,31,3946,8511,0,46.36,25.21
臺北市,信義區,六藝里,1424,720,704,10,1434,3102,0,46.23,23.21
臺北市,信義區,雅祥里,2017,996,1021,25,2042,4266,0,47.87,23.35
臺北市,信義區,五常里,1479,795,684,9,1488,3106,0,47.91,25.6
臺北市,信義區,五全里,1944,886,1058,17,1961,4081,0,48.05,21.71
臺北市,信義區,永吉里,1409,594,815,13,1422,3370,0,42.2,17.63
臺北市,信義區,長春里,1558,785,773,15,1573,3629,0,43.35,21.63
臺北市,信義區,四育里,2319,1117,1202,30,2349,4754,0,49.41,23.5
臺北市,信義區,四維里,2120,1208,912,25,2145,4535,0,47.3,26.64
臺北市,信義區,永春里,1916,983,933,31,1947,4223,0,46.1,23.28
臺北市,信義區,富台里,1723,1099,624,23,1746,3723,0,46.9,29.52
臺北市,信義區,國業里,2831,1586,1245,16,2847,6147,0,46.32,25.8
臺北市,信義區,松隆里,880,471,409,6,886,1924,0,46.05,24.48
臺北市,信義區,松友里,2530,1410,1120,21,2551,5536,0,46.08,25.47
臺北市,信義區,松光里,1951,990,961,17,1968,4245,0,46.36,23.32
臺北市,信義區,中坡里,1868,994,874,21,1889,3791,0,49.83,26.22
臺北市,信義區,中行里,3058,1520,1538,29,3087,6724,0,45.91,22.61
臺北市,信義區,大道里,2469,1222,1247,20,2489,5177,0,48.08,23.6
臺北市,信義區,大仁里,1519,802,717,9,1528,3445,0,44.35,23.28
臺北市,信義區,景新里,2045,1209,836,17,2062,4324,0,47.69,27.96
臺北市,信義區,惠安里,2549,1539,1010,18,2567,5572,0,46.07,27.62
臺北市,信義區,三張里,3538,2088,1450,37,3575,7503,0,47.65,27.83
臺北市,信義區,三犁里,2014,1160,854,17,2031,4453,0,45.61,26.05
臺北市,信義區,六合里,2669,1676,993,21,2690,5784,0,46.51,28.98
臺北市,信義區,泰和里,2739,1575,1164,19,2758,6519,0,42.31,24.16
臺北市,信義區,景聯里,1915,1073,842,15,1930,3961,0,48.73,27.09
臺北市,信義區,景勤里,1472,863,609,16,1488,3292,0,45.2,26.22
臺北市,信義區,雙和里,2935,1744,1191,19,2954,6033,0,48.96,28.91
臺北市,信義區,嘉興里,1328,732,596,9,1337,2713,0,49.28,26.98
臺北市,信義區,黎順里,1556,897,659,12,1568,3427,0,45.75,26.17
臺北市,信義區,黎平里,2925,1713,1212,21,2946,5973,0,49.32,28.68
臺北市,信義區,黎忠里,1996,1168,828,9,2005,4141,0,48.42,28.21
臺北市,信義區,黎安里,736,484,252,13,749,1734,0,43.19,27.91
臺北市,信義區,合計,84280,47128,37152,744,85024,181747,210936,46.78,25.93
臺北市,大安區,德安里,2298,1436,862,10,2308,4632,0,49.83,31.0
臺北市,大安區,仁慈里,2180,1112,1068,7,2187,4304,0,50.81,25.84
臺北市,大安區,和安里,2628,1498,1130,19,2647,5471,0,48.38,27.38
臺北市,大安區,民炤里,3224,1715,1509,28,3252,6608,0,49.21,25.95
臺北市,大安區,仁愛里,1916,1019,897,12,1928,4212,0,45.77,24.19
臺北市,大安區,義村里,2463,1634,829,17,2480,4707,0,52.69,34.71
臺北市,大安區,民輝里,2710,1443,1267,28,2738,5704,0,48.0,25.3
臺北市,大安區,昌隆里,1351,680,671,18,1369,2713,0,50.46,25.06
臺北市,大安區,誠安里,1668,872,796,17,1685,3427,0,49.17,25.44
臺北市,大安區,光武里,2847,1545,1302,28,2875,6211,0,46.29,24.88
臺北市,大安區,龍坡里,2353,1312,1041,19,2372,4608,0,51.48,28.47
臺北市,大安區,龍泉里,1917,1034,883,10,1927,4046,0,47.63,25.56
臺北市,大安區,古風里,1792,966,826,15,1807,3495,0,51.7,27.64
臺北市,大安區,古莊里,2900,1596,1304,16,2916,6074,0,48.01,26.28
臺北市,大安區,龍安里,2447,1293,1154,11,2458,6710,0,36.63,19.27
臺北市,大安區,錦安里,2357,1332,1025,15,2372,4806,0,49.35,27.72
臺北市,大安區,福住里,2377,1269,1108,17,2394,5061,0,47.3,25.07
臺北市,大安區,永康里,1433,805,628,8,1441,2977,0,48.4,27.04
臺北市,大安區,光明里,1468,824,644,14,1482,2987,0,49.61,27.59
臺北市,大安區,錦泰里,1494,914,580,18,1512,3004,0,50.33,30.43
臺北市,大安區,錦華里,2365,1363,1002,15,2380,4627,0,51.44,29.46
臺北市,大安區,龍圖里,2708,1566,1142,16,2724,5613,0,48.53,27.9
臺北市,大安區,新龍里,2885,1953,932,30,2915,5527,0,52.74,35.34
臺北市,大安區,龍陣里,1476,830,646,9,1485,2947,0,50.39,28.16
臺北市,大安區,龍雲里,1997,1106,891,17,2014,3937,0,51.16,28.09
臺北市,大安區,龍生里,2758,1625,1133,23,2781,5409,0,51.41,30.04
臺北市,大安區,住安里,1878,1111,767,16,1894,4245,0,44.62,26.17
臺北市,大安區,義安里,2075,1219,856,9,2084,4455,0,46.78,27.36
臺北市,大安區,通化里,2486,1254,1232,19,2505,5249,0,47.72,23.89
臺北市,大安區,通安里,2172,1211,961,37,2209,4590,0,48.13,26.38
臺北市,大安區,臨江里,1628,890,738,22,1650,3527,0,46.78,25.23
臺北市,大安區,法治里,1865,1171,694,22,1887,3732,0,50.56,31.38
臺北市,大安區,全安里,1786,1045,741,17,1803,3699,0,48.74,28.25
臺北市,大安區,群賢里,2410,1455,955,15,2425,4899,0,49.5,29.7
臺北市,大安區,群英里,3140,2250,890,20,3160,5848,0,54.04,38.47
臺北市,大安區,虎嘯里,1552,869,683,10,1562,3137,0,49.79,27.7
臺北市,大安區,臥龍里,878,536,342,5,883,1729,0,51.07,31.0
臺北市,大安區,龍淵里,3685,2038,1647,26,3711,7435,0,49.91,27.41
臺北市,大安區,龍門里,1848,999,849,13,1861,3529,0,52.73,28.31
臺北市,大安區,大學里,3648,2051,1597,28,3676,6961,0,52.81,29.46
臺北市,大安區,芳和里,2336,1350,986,25,2361,4904,0,48.14,27.53
臺北市,大安區,黎元里,2103,1180,923,18,2121,4683,0,45.29,25.2
臺北市,大安區,黎孝里,3207,1835,1372,30,3237,6467,0,50.05,28.37
