,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
44,南投縣,鹿谷鄉,秀峰村,153,105859,692,458,86.0,214.0,0.4019,87.0,213.0,0.4085,93.0,214.0,0.4346,86.0,215.0,0.4
45,花蓮縣,光復鄉,大興村,87,49888,573,459,128.0,160.0,0.8,129.0,160.0,0.8063,134.0,159.0,0.8428,129.0,159.0,0.8113
46,苗栗縣,公館鄉,開礦村,67,47250,705,460,82.0,105.0,0.781,80.0,103.0,0.7767,78.0,105.0,0.7429,77.0,103.0,0.7476
47,新北市,三芝區,茂長里,184,117397,638,460,138.0,276.0,0.5,139.0,276.0,0.5036,146.0,277.0,0.5271,150.0,277.0,0.5415
48,臺南市,左鎮區,岡林里,56,34796,621,460,40.0,137.0,0.292,49.0,137.0,0.3577,40.0,137.0,0.292,44.0,137.0,0.3212
49,屏東縣,枋寮鄉,新開村,128,68134,532,461,90.0,235.0,0.383,92.0,234.0,0.3932,89.0,235.0,0.3787,90.0,236.0,0.3814
50,嘉義縣,中埔鄉,東興村,31,16831,543,461,68.0,155.0,0.4387,66.0,153.0,0.4314,63.0,154.0,0.4091,64.0,154.0,0.4156
51,新北市,金山區,六股里,176,112467,639,461,84.0,239.0,0.3515,87.0,237.0,0.3671,89.0,239.0,0.3724,82.0,237.0,0.346
52,澎湖縣,望安鄉,西坪村,48,30006,625,461,3.0,8.0,0.375,4.0,8.0,0.5,4.0,8.0,0.5,4.0,8.0,0.5
53,彰化縣,芬園鄉,楓坑村,118,67803,575,461,101.0,201.0,0.5025,110.0,202.0,0.5446,103.0,201.0,0.5124,107.0,199.0,0.5377
54,南投縣,埔里鎮,一新里,176,116491,662,461,253.0,393.0,0.6438,264.0,393.0,0.6718,265.0,394.0,0.6726,259.0,393.0,0.659
55,臺南市,楠西區,照興里,135,77335,573,461,128.0,305.0,0.4197,122.0,304.0,0.4013,133.0,306.0,0.4346,129.0,306.0,0.4216
56,花蓮縣,瑞穗鄉,富源村,131,75697,578,462,135.0,203.0,0.665,145.0,205.0,0.7073,143.0,204.0,0.701,151.0,205.0,0.7366
57,新北市,三峽區,五寮里,150,90950,606,462,104.0,231.0,0.4502,106.0,232.0,0.4569,116.0,232.0,0.5,110.0,234.0,0.4701
58,高雄市,田寮區,西德里,132,83918,636,462,90.0,254.0,0.3543,94.0,255.0,0.3686,89.0,255.0,0.349,87.0,254.0,0.3425
59,屏東縣,車城鄉,後灣村,78,49463,634,462,67.0,155.0,0.4323,64.0,155.0,0.4129,66.0,154.0,0.4286,66.0,154.0,0.4286
60,嘉義縣,梅山鄉,瑞里村,61,37281,611,463,114.0,182.0,0.6264,111.0,181.0,0.6133,116.0,182.0,0.6374,110.0,182.0,0.6044
61,高雄市,鼓山區,峰南里,210,129640,617,463,99.0,353.0,0.2805,106.0,355.0,0.2986,110.0,356.0,0.309,108.0,354.0,0.3051
62,新北市,石碇區,石碇里,112,70926,633,463,59.0,143.0,0.4126,58.0,142.0,0.4085,55.0,143.0,0.3846,56.0,143.0,0.3916
63,彰化縣,芳苑鄉,五俊村,71,45852,646,463,47.0,103.0,0.4563,51.0,102.0,0.5,47.0,102.0,0.4608,49.0,101.0,0.4851
64,新北市,瑞芳區,永慶里,92,52687,573,463,60.0,128.0,0.4688,57.0,128.0,0.4453,61.0,128.0,0.4766,62.0,128.0,0.4844
65,屏東縣,滿州鄉,里德村,54,28530,528,463,61.0,118.0,0.5169,55.0,117.0,0.4701,58.0,119.0,0.4874,56.0,119.0,0.4706
66,屏東縣,獅子鄉,內文村,42,24498,583,464,58.0,73.0,0.7945,61.0,72.0,0.8472,61.0,73.0,0.8356,61.0,73.0,0.8356
67,高雄市,甲仙區,大田里,245,134963,551,464,206.0,437.0,0.4714,205.0,439.0,0.467,213.0,441.0,0.483,217.0,444.0,0.4887
68,宜蘭縣,三星鄉,天山村,103,68151,662,466,56.0,147.0,0.381,59.0,146.0,0.4041,61.0,147.0,0.415,62.0,148.0,0.4189
69,花蓮縣,光復鄉,大富村,60,38132,636,466,64.0,105.0,0.6095,65.0,106.0,0.6132,65.0,107.0,0.6075,67.0,107.0,0.6262
70,高雄市,左營區,廟北里,182,120529,662,466,97.0,404.0,0.2401,100.0,404.0,0.2475,100.0,402.0,0.2488,101.0,403.0,0.2506
71,南投縣,魚池鄉,東池村,340,213834,629,466,287.0,547.0,0.5247,292.0,546.0,0.5348,295.0,543.0,0.5433,294.0,544.0,0.5404
72,高雄市,田寮區,大同里,52,28350,545,466,27.0,142.0,0.1901,30.0,142.0,0.2113,27.0,142.0,0.1901,29.0,141.0,0.2057
73,彰化縣,二水鄉,倡和村,110,69106,628,466,110.0,218.0,0.5046,103.0,218.0,0.4725,105.0,217.0,0.4839,106.0,218.0,0.4862
74,嘉義縣,朴子市,新寮里,129,87668,680,466,78.0,240.0,0.325,85.0,241.0,0.3527,82.0,241.0,0.3402,84.0,241.0,0.3485
75,臺南市,白河區,仙草里,146,81393,557,467,138.0,381.0,0.3622,139.0,381.0,0.3648,139.0,380.0,0.3658,143.0,382.0,0.3743
76,屏東縣,萬丹鄉,甘棠村,59,36421,617,467,50.0,131.0,0.3817,53.0,131.0,0.4046,47.0,132.0,0.3561,48.0,130.0,0.3692
77,高雄市,六龜區,荖濃里,133,67902,511,468,120.0,332.0,0.3614,113.0,328.0,0.3445,118.0,328.0,0.3598,112.0,331.0,0.3384
78,花蓮縣,瑞穗鄉,富興村,84,53188,633,468,117.0,198.0,0.5909,123.0,196.0,0.6276,118.0,197.0,0.599,117.0,197.0,0.5939
79,臺南市,七股區,頂山里,125,76645,613,468,95.0,305.0,0.3115,96.0,308.0,0.3117,98.0,309.0,0.3172,94.0,308.0,0.3052
80,新北市,三芝區,新庄里,198,118730,600,468,137.0,276.0,0.4964,143.0,271.0,0.5277,134.0,272.0,0.4926,142.0,273.0,0.5201
81,雲林縣,大埤鄉,吉田村,150,86959,580,468,72.0,239.0,0.3013,83.0,238.0,0.3487,79.0,237.0,0.3333,70.0,238.0,0.2941
82,新北市,樹林區,坡內里,468,308026,658,468,222.0,585.0,0.3795,237.0,586.0,0.4044,231.0,588.0,0.3929,231.0,586.0,0.3942
83,臺東縣,池上鄉,大坡村,42,27467,654,469,53.0,73.0,0.726,57.0,72.0,0.7917,54.0,72.0,0.75,58.0,71.0,0.8169
84,臺東縣,卑南鄉,嘉豐村,67,37225,556,469,83.0,135.0,0.6148,80.0,132.0,0.6061,86.0,133.0,0.6466,84.0,134.0,0.6269
85,南投縣,竹山鎮,福興里,66,38217,579,469,137.0,221.0,0.6199,130.0,216.0,0.6019,136.0,219.0,0.621,130.0,219.0,0.5936
86,高雄市,鼓山區,鼓岩里,274,165344,603,469,155.0,477.0,0.3249,154.0,477.0,0.3229,152.0,473.0,0.3214,157.0,474.0,0.3312
87,嘉義縣,梅山鄉,圳南村,46,21299,463,469,57.0,147.0,0.3878,57.0,147.0,0.3878,56.0,146.0,0.3836,56.0,146.0,0.3836
88,南投縣,魚池鄉,共和村,151,92529,613,470,58.0,153.0,0.3791,63.0,154.0,0.4091,65.0,154.0,0.4221,60.0,151.0,0.3974
89,南投縣,魚池鄉,大雁村,127,102736,809,470,107.0,205.0,0.522,100.0,205.0,0.4878,103.0,204.0,0.5049,105.0,205.0,0.5122
90,苗栗縣,通霄鎮,福龍里,86,56512,657,470,80.0,122.0,0.6557,78.0,123.0,0.6341,86.0,124.0,0.6935,84.0,124.0,0.6774
91,高雄市,杉林區,杉林里,85,45275,533,471,53.0,166.0,0.3193,53.0,167.0,0.3174,57.0,166.0,0.3434,52.0,167.0,0.3114
92,花蓮縣,玉里鎮,長良里,77,44834,582,471,113.0,148.0,0.7635,114.0,147.0,0.7755,113.0,148.0,0.7635,114.0,149.0,0.7651
93,屏東縣,新埤鄉,箕湖村,117,66655,570,471,124.0,357.0,0.3473,127.0,360.0,0.3528,129.0,359.0,0.3593,127.0,361.0,0.3518
94,臺東縣,臺東市,寶桑里,205,123309,602,471,164.0,301.0,0.5449,180.0,299.0,0.602,167.0,302.0,0.553,176.0,298.0,0.5906
95,嘉義縣,東石鄉,東崙村,138,86466,627,471,86.0,230.0,0.3739,87.0,227.0,0.3833,84.0,230.0,0.3652,93.0,231.0,0.4026
96,新北市,平溪區,薯榔里,87,48410,556,471,46.0,132.0,0.3485,53.0,132.0,0.4015,54.0,133.0,0.406,53.0,134.0,0.3955
97,屏東縣,屏東市,崇智里,133,90729,682,471,97.0,304.0,0.3191,100.0,305.0,0.3279,105.0,306.0,0.3431,102.0,306.0,0.3333
98,嘉義縣,竹崎鄉,光華村,64,31683,495,472,99.0,206.0,0.4806,108.0,206.0,0.5243,102.0,207.0,0.4928,104.0,206.0,0.5049
99,屏東縣,屏東市,和興里,205,128346,626,472,127.0,420.0,0.3024,133.0,422.0,0.3152,122.0,421.0,0.2898,126.0,423.0,0.2979
100,,,,,,,,9491.0,21070.0,0.4505,9690.0,21047.0,0.4604,9715.0,21071.0,0.4611,9657.0,21066.0,0.4584
