,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
53,高雄市,茄萣區,嘉福里,196,109978,561,472,106.0,313.0,0.3387,99.0,313.0,0.3163,98.0,310.0,0.3161,110.0,314.0,0.3503
54,嘉義縣,梅山鄉,太興村,52,29177,561,440,88.0,153.0,0.5752,87.0,152.0,0.5724,90.0,152.0,0.5921,90.0,153.0,0.5882
55,屏東縣,車城鄉,新街村,49,27541,562,487,36.0,148.0,0.2432,36.0,147.0,0.2449,32.0,145.0,0.2207,38.0,146.0,0.2603
56,高雄市,內門區,三平里,97,54546,562,475,64.0,196.0,0.3265,69.0,196.0,0.352,63.0,196.0,0.3214,69.0,195.0,0.3538
57,南投縣,水里鄉,上安村,165,93090,564,510,211.0,344.0,0.6134,211.0,344.0,0.6134,211.0,345.0,0.6116,199.0,344.0,0.5785
58,嘉義縣,義竹鄉,西過村,139,78393,564,434,74.0,260.0,0.2846,69.0,263.0,0.2624,75.0,264.0,0.2841,67.0,263.0,0.2548
59,嘉義縣,梅山鄉,瑞峰村,54,30509,565,479,67.0,263.0,0.2548,67.0,263.0,0.2548,67.0,263.0,0.2548,67.0,263.0,0.2548
60,臺南市,東山區,林安里,64,36178,565,446,42.0,136.0,0.3088,45.0,135.0,0.3333,43.0,136.0,0.3162,43.0,135.0,0.3185
61,屏東縣,新埤鄉,餉潭村,180,101621,565,517,95.0,365.0,0.2603,98.0,364.0,0.2692,97.0,367.0,0.2643,101.0,367.0,0.2752
62,高雄市,杉林區,大愛里,262,148616,567,566,205.0,519.0,0.395,213.0,516.0,0.4128,211.0,519.0,0.4066,214.0,519.0,0.4123
63,花蓮縣,富里鄉,羅山村,77,43755,568,424,90.0,126.0,0.7143,95.0,128.0,0.7422,90.0,129.0,0.6977,94.0,129.0,0.7287
64,花蓮縣,新城鄉,順安村,196,111424,568,531,134.0,310.0,0.4323,140.0,304.0,0.4605,138.0,306.0,0.451,141.0,308.0,0.4578
65,屏東縣,潮州鎮,檨子里,54,30736,569,430,57.0,169.0,0.3373,61.0,169.0,0.3609,60.0,168.0,0.3571,59.0,168.0,0.3512
66,花蓮縣,玉里鎮,觀音里,219,124769,570,485,304.0,399.0,0.7619,305.0,403.0,0.7568,305.0,401.0,0.7606,305.0,400.0,0.7625
67,屏東縣,新埤鄉,箕湖村,117,66655,570,471,124.0,357.0,0.3473,127.0,360.0,0.3528,129.0,359.0,0.3593,127.0,361.0,0.3518
